# sim_002_lc, 2
# name, value
id,sim_002_lc,target identifier
stage,  9,furthest stage the analysis reached
t_tot,25.979166666666664,total time base of observations in days
t_mean,12.946568201563858,time series mean time reference point
period,2.097225627160025,orbital period in days
p_err,0.0008880100153693854,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,62.0,number of free parameters after the prewhitening phase
bic_prew,-10074.235826278227,BIC after the prewhitening phase
noise_level_prew,0.002516036310811941,noise level after the prewhitening phase
t_1,3.4776146236688685,time of primary minimum with respect to the mean time
t_2,3.7812869064770416,time of secondary minimum with respect to the mean time
t_1_1,3.3152304754249737,time of primary first contact with respect to the mean time
t_1_2,3.6299362732911504,time of primary last contact with respect to the mean time
t_2_1,3.6301984267566993,time of secondary first contact with respect to the mean time
t_2_2,3.9433732483840735,time of secondary last contact with respect to the mean time
t_b_1_1,3.4776146236688685,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,3.4776146236688685,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,3.7812869064770416,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,3.7812869064770416,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.007341989499319955,depth of primary minimum
depth_2,0.007185696711273739,depth of secondary minimum
t_1_err,0.008873349494138085,error in time of primary minimum (t_1)
t_2_err,0.008886845685289396,error in time of secondary minimum (t_2)
t_1_1_err,0.011628620700594984,error in time of primary first contact (t_1_1)
t_1_2_err,0.01340598767648905,error in time of primary last contact (t_1_2)
t_2_1_err,0.013405973642055312,error in time of secondary first contact (t_2_1)
t_2_2_err,0.011669789014592563,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.011628620700594984,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.01340598767648905,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.013405973642055312,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.011669789014592563,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,0.0008546550395418765,individual error in depth of primary minimum
d_2_err,0.0008546550395418765,individual error in depth of secondary minimum
t_1_ind_err,0.016929271860663085,individual error in time of primary minimum (t_1)
t_2_ind_err,0.01695502095228119,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.022185994289412283,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.025576994356630755,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.025576967580637728,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.022264538426569346,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,0.022142425379273994,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,0.022142425379273994,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,0.022230208251090806,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,0.022230208251090806,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,0.003081502567901939,individual error in depth of primary minimum
d_2_ind_err,0.003081502567901939,individual error in depth of secondary minimum
ecosw_form,-0.5952595583381092,e*cos(w) from timing formulae
esinw_form,-0.0025305740606639216,e*sin(w) from timing formulae
cosi_form,2.0831210393468772e-07,cosine of inclination from timing formulae
phi_0_form,0.6775097670396896,phi_0 angle (Kopal 1959) from timing formulae
log_rr_form,1.0350982688353891,logarithm of the radius ratio r2/r1 from timing formulae
log_sb_form,-4.805172169947082e-09,logarithm of the surface brightness ratio sb2/sb1 from timing formulae
e_form,0.5952649373161142,eccentricity from timing formulae
w_form,3.145843839111357,argument of periastron (radians) from timing formulae
i_form,1.5707961184827928,inclination (radians) from timing formulae
r_sum_form,0.40473481424176805,sum of radii divided by the semi-major axis of the relative orbit from timing formulae
r_rat_form,10.841722044673766,radius ratio r2/r1 from timing formulae
sb_rat_form,0.9999999889356822,surface brightness ratio sb2/sb1 from timing formulae
ecosw_sig,0.009406549505144234,formal uncorrelated error in ecosw
esinw_sig,0.04151580460642661,formal uncorrelated error in esinw
cosi_sig,0.034992854604336196,error estimate for cosi used for formal errors
phi_0_sig,0.018813166816091745,formal uncorrelated error in phi_0
log_rr_sig,1.7917145183561691,scaled error formal estimate for log_rr
log_sb_sig,0.00011459587267566201,scaled formal error estimate for log_sb
e_sig,0.009408120083495692,formal uncorrelated error in e
w_sig,0.06974280881479737,formal uncorrelated error in w
i_sig,0.035,error estimate for i used for formal errors
r_sum_sig,0.0050753648698139385,formal uncorrelated error in r_sum
r_rat_sig,18.76659576803263,scaled error formal estimate for r_rat
sb_rat_sig,23848.442335625798,scaled error formal estimate for sb_rat
ecosw_low,0.009406549505144234,upper error estimate in ecosw
ecosw_upp,0.015608847722629715,lower error estimate in ecosw
esinw_low,0.04884419661035616,upper error estimate in esinw
esinw_upp,0.04151580460642661,lower error estimate in esinw
cosi_low,0.034992854604336196,upper error estimate in cosi
cosi_upp,0.034992854604336196,lower error estimate in cosi
phi_0_low,0.018813166816091745,upper error estimate in phi_0
phi_0_upp,0.018813166816091745,lower error estimate in phi_0
log_rr_low,2.0974411371875235,upper error estimate in log_rr
log_rr_upp,1.7917145183561691,lower error estimate in log_rr
log_sb_low,0.00013414977388381979,upper error estimate in log_sb
log_sb_upp,0.00011459587267566201,lower error estimate in log_sb
e_low,0.011013461064560803,upper error estimate in e
e_upp,0.01560956295619269,lower error estimate in e
w_low,0.08205383095285049,upper error estimate in w
w_upp,0.08241179493032025,lower error estimate in w
i_low,0.035,upper error estimate in i
i_upp,0.035,lower error estimate in i
r_sum_low,0.012187979453819053,upper error estimate in r_sum
r_sum_upp,0.011958427208655642,lower error estimate in r_sum
r_rat_low,18.76659576803263,upper error estimate in r_rat
r_rat_upp,18.76659576803263,lower error estimate in r_rat
sb_rat_low,23848.442335625798,upper error estimate in sb_rat
sb_rat_upp,23848.442335625798,lower error estimate in sb_rat
ecosw_phys,-0.5990942242062027,e cos(w) of the physical model
esinw_phys,-0.010780472580866625,e sin(w) of the physical model
cosi_phys,0.05737066930247798,cos(i) of the physical model
phi_0_phys,0.7199484950424062,phi_0 of the physical model
log_rr_phys,1.1415322006641322,log of radius ratio of the physical model
log_sb_phys,0.012044273239628773,log of surface brightness ratio of the physical model
e_phys,0.5991912116063608,eccentricity of the physical model
w_phys,3.1595853311624738,argument of periastron of the physical model
i_phys,1.5133941392109351,inclination (radians) of the physical model
r_sum_phys,0.4235242616203867,sum of fractional radii of the physical model
r_rat_phys,13.852628921142896,radius ratio of the physical model
sb_rat_phys,1.0281211024327208,surface brightness ratio of the physical model
ecosw_err_l,-1.0,lower HDI error estimate in ecosw
ecosw_err_u,-1.0,upper HDI error estimate in ecosw
esinw_err_l,-1.0,lower HDI error estimate in esinw
esinw_err_u,-1.0,upper HDI error estimate in esinw
cosi_err_l,-1.0,lower HDI error estimate in cosi
cosi_err_u,-1.0,upper HDI error estimate in cosi
phi_0_err_l,-1.0,lower HDI error estimate in phi_0
phi_0_err_u,-1.0,upper HDI error estimate in phi_0
log_rr_err_l,-1.0,lower HDI error estimate in log_rr
log_rr_err_u,-1.0,upper HDI error estimate in log_rr
log_sb_err_l,-1.0,lower HDI error estimate in log_sb
log_sb_err_u,-1.0,upper HDI error estimate in log_sb
e_err_l,-1.0,lower HDI error estimate in e
e_err_u,-1.0,upper HDI error estimate in e
w_err_l,-1.0,lower HDI error estimate in w
w_err_u,-1.0,upper HDI error estimate in w
i_err_l,-1.0,lower HDI error estimate in i
i_err_u,-1.0,upper HDI error estimate in i
r_sum_err_l,-1.0,lower HDI error estimate in r_rat
r_sum_err_u,-1.0,upper HDI error estimate in r_rat
r_rat_err_l,-1.0,lower HDI error estimate in sb_rat
r_rat_err_u,-1.0,upper HDI error estimate in sb_rat
sb_rat_err_l,-1.0,lower HDI error estimate in r_sum
sb_rat_err_u,-1.0,upper HDI error estimate in r_sum
n_param_phys,76.0,number of parameters after physical model optimisation
bic_phys,-9980.488518188316,BIC after physical model optimisation
noise_level_phys,0.002510653545557584,noise level after physical model optimisation
total_freqs,22,total number of frequencies
passed_sigma,22,number of frequencies that passed the sigma test
passed_snr,22,number of frequencies that passed the S/R test
passed_both,22,number of frequencies that passed both tests
passed_harmonics,4,number of harmonics that passed both tests
std_1,0.002510653545557584,Standard deviation of the residuals of the linear+sinusoid+eclipse model
std_2,0.007661636036088102,Standard deviation of the residuals of the linear+eclipse model
std_3,0.006880943599413689,Standard deviation of the residuals of the linear+harmonic 1 and 2+eclipse model
std_4,0.005641215031432473,Standard deviation of the residuals of the linear+non-harmonic sinusoid+eclipse model
ratio_1_1,2.9243339895745724,Ratio of the first eclipse depth to std_1
ratio_1_2,2.862082155456414,Ratio of the second eclipse depth to std_1
ratio_2_1,0.9582795978218573,Ratio of the first eclipse depth to std_2
ratio_2_2,0.9378801965307961,Ratio of the second eclipse depth to std_2
ratio_3_1,1.0670032958772617,Ratio of the first eclipse depth to std_3
ratio_3_2,1.0442894361008883,Ratio of the second eclipse depth to std_3
ratio_4_1,1.301490806220093,Ratio of the first eclipse depth to std_4
ratio_4_2,1.2737852876083464,Ratio of the second eclipse depth to std_4
